"original","clean"
"Q: What has one head, one foot and four legs?  A: A Bed ","   one head, one foot  four legs?    bed "
"Q: What is the difference between a school teacher and a train?  A: The teacher says spit your gum out and the train says "chew chew chew". ","    difference   school teacher   train?    teacher says spit  gum    train says "chew chew chew". "
"Q: Why did the birdie go to the hospital?  A: To get a tweetment. ","    birdie go   hospital?    get  tweetment. "
"Q: Why did the cross-eyed teacher lose her job?  A: Because she couldn't control her pupils? ","    cross-eyed teacher lose  job?      control  pupils? "
"Q: What do you call someone who is afraid of Santa?  A: A Clausterphobic ","    call someone   afraid  santa?    clausterphobic "
"Q: What three candies can you find in every school?  A: Nerds, DumDums, and smarties. ","  three candies can  find  every school?   nerds, dumdums,  smarties. "
"Q: What sound do porcupines make when they kiss?  A: Ouch ","  sound  porcupines make   kiss?   ouch "
"Q: Why was the guy looking for fast food on his friend?  A: Because his friend said dinner is on me. ","    guy looking  fast food   friend?     friend said dinner   . "
"Q: Did you hear the joke about the roof?  A: Never mind, it's over your head! ","   hear  joke   roof?   never mind, 's   head! "
"Q: What do you call a bee that lives in America?  A: USB ","    call  bee  lives  america?   usb "
"Q: How do you make a tissue dance?  A: Put a bogey in it. ","    make  tissue dance?   put  bogey  . "
"Q: Why didn't the skeleton go to the dance?  A: Because he had no-body to go with. ","    skeleton go   dance?      -body  go . "
"Q: How do crazy people go through the forest?  A: They take the psycho path. ","   crazy people go   forest?    take  psycho path. "
"Q: Did you hear about the angry pancake?  A: He just flipped. ","   hear   angry pancake?    just flipped. "
"Q: What do prisoners use to call each other?  A: Cell phones. ","   prisoners use  call  ?   cell phones. "
"Q: What do you call a cow with a twitch?  A: Beef Jerky. ","    call  cow   twitch?   beef jerky. "
"Q: Did you ever hear about that movie constipation?  A: It never came out. ","   ever hear   movie constipation?    never came . "
"Q: What Do You Call A Bear With No Teeth?  A: A Gummy Bear ","    call  bear   teeth?    gummy bear "
"Q: What do you get when you cross Sonic The Hedgehog and Curious George?  A: 2 Fast 2 Curious ","    get   cross sonic  hedgehog  curious george?   2 fast 2 curious "
"Q: Did you hear about the hairdresser?  A: She dyed. ","   hear   hairdresser?    dyed. "
"Q: What do you call a musician with problems?  A: a trebled man. ","    call  musician  problems?    trebled man. "
"Q: Did you hear about the Italian chef that died?  A: He pasta way. ","   hear   italian chef  died?    pasta way. "
"Q: Where do snowmen keep their money?  A: In snow banks. ","   snowmen keep  money?    snow banks. "
"Q: What do you call a very religious person that sleep walks?  A: a Roman Catholic ","    call   religious person  sleep walks?    roman catholic "
"Q: Did you hear about the crab that went to the seafood disco?  A: He pulled a muscle ","   hear   crab  went   seafood disco?    pulled  muscle "
"Q: Did you hear about the carrot detective?  A: He got to the root of every case. ","   hear   carrot detective?    got   root  every case. "
"Q: Why can't you take a nap during a race?  A: Because if you snooze, you loose! ","    take  nap   race?      snooze,  loose! "
"Q. What did the tie say to the hat?  A. You go on ahead and I'll hang around ",".    tie say   hat?  .  go  ahead  'll hang around "
"Q: What washes up on very small beaches?  A: Microwaves! ","  washes    small beaches?   microwaves! "
"Q: What never asks questions but receives a lot of answers?  A: the Telephone. ","  never asks questions  receives  lot  answers?    telephone. "
"Q: What goes through towns, up & over hills, but doesn't move?  A: The road! ","  goes  towns,  &  hills,   move?    road! "
"Q: Did you hear about the guy who got hit in the head with a can of soda?  A: He was lucky it was a soft drink. ","   hear   guy  got hit   head   can  soda?     lucky    soft drink. "
"Q: Why was there thunder and lightning in the lab?  A: The scientists were brainstorming! ","    thunder  lightning   lab?    scientists  brainstorming! "
"Q: What did Delaware?  A: a New Jersey ","   delaware?    new jersey "
"Q: Why did Tony go out with a prune?  A: Because he couldn't find a date! ","   tony go    prune?      find  date! "
"Q: What do you cal purple when it is being mean?  A: Violent. ","    cal purple     mean?   violent. "
"Q: What did the little mountain say to the big mountain?  A: Hi Cliff! ","    little mountain say   big mountain?   hi cliff! "
"Q: Did you hear the one about the geologist?  A: He took his wife for granite so she left him ","   hear  one   geologist?    took  wife  granite   left  "
"Q: What did Winnie The Pooh say to his agent?  A: Show me the honey! ","   winnie  pooh say   agent?   show   honey! "
"Q: What did the man say to the wall?  A: One more crack like that and I'll plaster ya! ","    man say   wall?   one  crack like   'll plaster ya! "
"Q: What do you get when you cross a fridge with a radio?  A: Cool Music ","    get   cross  fridge   radio?   cool music "
"Q: Why couldn't the pirate play cards?  A: Because he was sitting on the deck! ","    pirate play cards?      sitting   deck! "
"Q: What's the difference between bird flu and swine flu?  A: If you have bird flu, you need tweetment. If you have swine flu, you need oink-ment. "," 's  difference  bird flu  swine flu?      bird flu,  need tweetment.    swine flu,  need oink-ment. "
"Q: Why did the traffic light turn red?  A: You would too if you had to change in the middle of the street! ","    traffic light turn red?          change   middle   street! "
"Q: What did one elevator say to the other elevator?  A: I think I'm coming down with something! ","   one elevator say    elevator?    think 'm coming   something! "
"Q: What do you call a window that raps?  A: 2PANEZ ","    call  window  raps?   2panez "
"Q: What happened when a faucet, a tomato and lettuce were in a race?  A: The lettuce was ahead, the faucet was running and the tomato was trying to ketchup. ","  happened   faucet,  tomato  lettuce    race?    lettuce  ahead,  faucet  running   tomato  trying  ketchup. "
"Q: Why can't your nose be 12 inches long?  A: Because then it would be a foot! ","    nose  12 inches long?         foot! "
"Q: What has four wheels and flies?  A: A garbage truck! ","   four wheels  flies?    garbage truck! "
"Q: What starts with a P, ends with an E, and has a million letters in it?  A: Post Office! ","  starts   p, ends   e,    million letters  ?   post office! "
"Q: What do you call a belt with a watch on it?  A: A waist of time ","    call  belt   watch  ?    waist  time "
"Q: What did the blanket say to the bed?  A: Don't worry, I've got you covered! ","    blanket say   bed?    worry, 've got  covered! "
"Q: Why should you take a pencil to bed?  A: To draw the curtains! ","    take  pencil  bed?    draw  curtains! "
"Q: What do you call an unpredictable, out of control photographer?  A: a loose Canon ","    call  unpredictable,   control photographer?    loose canon "
"Q: What do you call a frozen dog?  A: A pupsicle. ","    call  frozen dog?    pupsicle. "
"Q: What does the Lone Ranger say when he takes out the garbage?  A: To the dump, to the dump, to the dump dump dump. ","    lone ranger say   takes   garbage?     dump,   dump,   dump dump dump. "
"Q: How many books can you put in an empty backpack?  A: One! After that its not empty! ","  many books can  put   empty backpack?   one!     empty! "
"Q: What kind of button won't unbutton?  A: A bellybutton! ","  kind  button  unbutton?    bellybutton! "
"Q: What do you call an 80s synth pop band with a scoop of ice cream?  A: Depeche a la Mode. ","    call  80s synth pop band   scoop  ice cream?   depeche  la mode. "
"Q: What do you call a group of men waiting for a haircut?  A: A barbercue ","    call  group  men waiting   haircut?    barbercue "
"Q: Why do sea-gulls fly over the sea?  A: Because if they flew over the bay they would be bagels! ","   sea-gulls fly   sea?      flew   bay    bagels! "
"Q: What dog keeps the best time?  A: A watch dog. ","  dog keeps  best time?    watch dog. "
"Q: What do you call a condiment with a hit single?  A: a must"heard" ","    call  condiment   hit single?    must"heard" "
"Q: What do you call two fat people having a chat?  A: A heavy discussion ","    call two fat people   chat?    heavy discussion "
"Q: Why did the tomato turn red?  A: It saw the salad dressing! ","    tomato turn red?    saw  salad dressing! "
"Q: What do you get when you plant kisses?  A: Tu-lips (two-lips) ","    get   plant kisses?   tu-lips (two-lips) "
"Q: What did the daddy chimney say to the baby chimney?  A: You are to little to smoke! ","    daddy chimney say   baby chimney?      little  smoke! "
"Q: What do you call a ghosts mom and dad?  A: Transparents ","    call  ghosts mom  dad?   transparents "
"Q: Why did God make only one Yogi Bear?  A: Because when he tried to make a second one he made a Boo-Boo ","   god make  one yogi bear?      tried  make  second one  made  boo-boo "
"Q: What did the grape do when it got stepped on?  A: It let out a little wine! ","    grape    got stepped ?    let   little wine! "
"Q: What do you call the new girl at the bank?  A: The Nutella! ","    call  new girl   bank?    nutella! "
"Q: What did the judge say when the skunk walked in the court room?  A: Odor in the court. ","    judge say   skunk walked   court room?   odor   court. "
"Q: What did the fish say when he swam into the wall?  A: Dam! ","    fish say   swam   wall?   dam! "
"Q: Why don't skeletons fight each other?  A: They don't have the guts. ","   skeletons fight  ?       guts. "
"Q: What do you call cheese that is not yours?  A: Nacho Cheese ","    call cheese    ?   nacho cheese "
"Q: What streets do ghosts haunt?  A: Dead ends! ","  streets  ghosts haunt?   dead ends! "
"Q: Did you hear about the astronaut who stepped on chewing gum?  A: He got stuck in Orbit. ","   hear   astronaut  stepped  chewing gum?    got stuck  orbit. "
"Q: What did the penny say to the other penny?  A: We make perfect cents. ","    penny say    penny?    make perfect cents. "
"Q: Why did the man with one hand cross the road?  A: To get to the second hand shop. ","    man  one hand cross  road?    get   second hand shop. "
"Q: Why did the boy sprinkle sugar on his pillow before he went to sleep?  A: So he could have sweet dreams. ","    boy sprinkle sugar   pillow   went  sleep?       sweet dreams. "
"Q: What do you call a nervous javelin thrower?  A: Shakespeare. ","    call  nervous javelin thrower?   shakespeare. "
"Q: Did you hear about the painter who was hospitalized?  A: Reports say it was due to too many strokes. ","   hear   painter   hospitalized?   reports say   due   many strokes. "
"Q: Why did the robber take a bath?  A: Because he wanted to make a clean getaway. ","    robber take  bath?     wanted  make  clean getaway. "
"Q: What happens if life gives you melons?  A: Your dyslexic ","  happens  life gives  melons?    dyslexic "
"Q: What did the judge say to the dentist?  A: Do you swear to pull the tooth, the whole tooth and nothing but the tooth. ","    judge say   dentist?     swear  pull  tooth,  whole tooth  nothing   tooth. "
"Q: Why did the boy tiptoe past the medicine cabinet?  A: He didn't want to wake the sleeping pills! ","    boy tiptoe past  medicine cabinet?     want  wake  sleeping pills! "
"Q: What do you call a funny mountain?  A: hill-arious ","    call  funny mountain?   hill-arious "
"Q: What goes up when the rain comes down?  A: An umbrella. ","  goes    rain comes ?    umbrella. "
"Q: Why did the belt go to jail?  A: Because it held up a pair of pants! ","    belt go  jail?     held   pair  pants! "
"Q: Did you hear about the calendar thief?  A: He got 12 months; they say his days are numbered ","   hear   calendar thief?    got 12 months;  say  days  numbered "
"Q: What happens if life gives you melons?  A: Your dyslexic ","  happens  life gives  melons?    dyslexic "
"Q: What did one raindrop say to the other?  A: Two's company, three's a cloud ","   one raindrop say   ?   two's company, three's  cloud "
"Q: Why did the balloon burst?  A: Because is saw a lolly pop ","    balloon burst?     saw  lolly pop "
"Q: Did you hear about the sick juggler?  A: They say he couldnt stop throwing up! ","   hear   sick juggler?    say  couldnt stop throwing ! "
"Q: What kind of driver never get a parking ticket?  A: A screw driver ","  kind  driver never get  parking ticket?    screw driver "
"Q: What did the stamp say to the envelope?  A: Stick with me and we will go places! ","    stamp say   envelope?   stick     will go places! "
"Q: Who can shave 10 times a day and still have a beard?  A: A barber. ","  can shave 10 times  day  still   beard?    barber. "
"Q: What do you call a horse that can't lose a race?  A: Sherbet ","    call  horse   lose  race?   sherbet "
"Q: What do you call a dentist in the army?  A: A drill sergeant ","    call  dentist   army?    drill sergeant "
"Q: What did the triangle say to the circle?  A: Your pointless! ","    triangle say   circle?    pointless! "
"Q: Did you hear about the new Johnny Depp movie?  A: It's the one rated Arrrr! ","   hear   new johnny depp movie?   's  one rated arrrr! "
"Q: Why does a milking stool have only 3 legs?  A: Because the cow has the utter. ","    milking stool   3 legs?     cow   utter. "
"Q: What's easy to get into but hard to get out of?  A: Trouble "," 's easy  get   hard  get  ?   trouble "
"Q: Did you hear about the guy who died when an axe fell on him?  A: The police are calling it an axe-i-dent. ","   hear   guy  died   axe fell  ?    police  calling   axe--dent. "
"Q: Why did the dinosaur cross the road?  A: Because the chicken joke wasn't invented yet. ","    dinosaur cross  road?     chicken joke  invented yet. "
"Q: What kind of lights did Noah use on the Ark?  A: Flood lights! ","  kind  lights  noah use   ark?   flood lights! "
"Q: Did you hear about the monster with five legs?  A: His trousers fit him like a glove. ","   hear   monster  five legs?    trousers fit  like  glove. "
"Q: Why don't you see giraffes in elementary school?  A: Because they're all in High School! ","    see giraffes  elementary school?    're   high school! "
"Q: Which is the longest word in the dictionary?  A: "Smiles", because there is a mile between each "s"! ","    longest word   dictionary?   "smiles",     mile   "s"! "
"Q: What happened to the wooden car with wooden wheels and wooden engine?  A: it wooden go! ","  happened   wooden car  wooden wheels  wooden engine?    wooden go! "
"Q: Which month do soldiers hate most?  A: The month of March! ","  month  soldiers hate ?    month  march! "
"Q: What did the painter say to the wall?  A: One more crack like that and I'll plaster you! ","    painter say   wall?   one  crack like   'll plaster ! "
"Q: What do you call a Bee who is having a bad hair day?  A: A Frisbee. ","    call  bee     bad hair day?    frisbee. "
"Q: What did the M&M go to college?  A: Because he wanted to be a Smarty. ","    m&m go  college?     wanted    smarty. "
"Q: What stays on the ground but never gets dirty?  A: Shadow. ","  stays   ground  never gets dirty?   shadow. "
"Q: What kind of shorts do clouds wear?  A: Thunderwear ","  kind  shorts  clouds wear?   thunderwear "
"Q: Why do golfers wear two pairs of pants?  A: In case they get a hole in one! ","   golfers wear two pairs  pants?    case  get  hole  one! "
"Q: What kind of berry has a coloring book?  A: A crayon-berry ","  kind  berry   coloring book?    crayon-berry "
"Q: What do you call a magician on a plane?  A: A flying sorcerer! ","    call  magician   plane?    flying sorcerer! "
"Q: Why did the toilet paper roll down the hill?  A: He wanted to get to the bottom. ","    toilet paper roll   hill?    wanted  get   bottom. "
"Q: Who cleans the bottom of the ocean?  A: A Mer-Maid ","  cleans  bottom   ocean?    mer-maid "
"Q: Whens the best time to go to the dentist?  A: Tooth-hurty "," whens  best time  go   dentist?   tooth-hurty "
"Q: What did one aspiring wig say to the other aspiring wig?  A: I wanna get a head! ","   one aspiring wig say    aspiring wig?    wanna get  head! "
"Q: Did you hear about the paddle sale at the boat store?  A: It was quite an oar deal. ","   hear   paddle sale   boat store?     quite  oar deal. "
"Q: Why did Goofy put a clock under his desk?  A: Because he wanted to work over-time! ","   goofy put  clock   desk?     wanted  work -time! "
"Q: Do you know why diarrhea is hereditary?  A: Because it runs through your jeans. ","   know  diarrhea  hereditary?     runs   jeans. "
"What would you do if I stole a kiss?  Call the Police ","      stole  kiss?  call  police "
"Q: What do you call a South American girl who is always in a hurry?  A: Urgent Tina ","    call  south american girl   always   hurry?   urgent tina "
"Q: Why did Johnny throw the clock out of the window?  A: Because he wanted to see time fly! ","   johnny throw  clock    window?     wanted  see time fly! "
"Q: When do you stop at green and go at red?  A: When you're eating a watermelon! ","    stop  green  go  red?    're eating  watermelon! "
"Q: What did the tailor think of her new job?  A: It was sew sew. ","    tailor think   new job?     sew sew. "
"Q: How did the farmer mend his pants?  A: With cabbage patches! ","    farmer mend  pants?    cabbage patches! "
"Q: Why did the man lose his job at the orange juice factory?  A: He couldn't concentrate! ","    man lose  job   orange juice factory?     concentrate! "
"Q: Can I tell you a joke about paper?  A: Nah, never mind, its tearable. "," can  tell   joke  paper?   nah, never mind,  tearable. "
"Q: How do you repair a broken tomato?  A: Tomato Paste! ","    repair  broken tomato?   tomato paste! "
"Q: Why did the baby strawberry cry?  A: Because his parents were in a jam! ","    baby strawberry cry?     parents    jam! "
"Q: What did the hamburger name his daughter?  A: Patty! ","    hamburger name  daughter?   patty! "
"Q: What kind of egg did the bad chicken lay?  A: A deviled egg! ","  kind  egg   bad chicken lay?    deviled egg! "
"Q: What kind of key opens the door on Thanksgiving?  A: A turkey! ","  kind  key opens  door  thanksgiving?    turkey! "
"Q: Why did the cookie go to the hospital?  A: He felt crummy! ","    cookie go   hospital?    felt crummy! "
"Q: Why were the teacher's eyes crossed?  A: She couldn't control her pupils! ","    teacher's eyes crossed?     control  pupils! "
"Q: What do you call a guy who never farts in public?  A: A private tutor. ","    call  guy  never farts  public?    private tutor. "
"Q: What do you call a bear with no socks on?  A: Bare-foot. ","    call  bear   socks ?   bare-foot. "
"Q: What can you serve but never eat?  A: A volleyball. ","  can  serve  never eat?    volleyball. "
"Q: What kind of shoes do all spies wear?  A: Sneakers. ","  kind  shoes   spies wear?   sneakers. "
"Q: Why did the soccer player bring string to the game?  A: So he could tie the score. ","    soccer player bring string   game?      tie  score. "
"Q: Why is a baseball team similar to a muffin?  A: They both depend on the batter. ","    baseball team similar   muffin?     depend   batter. "
"Q: What did the alien say to the garden?  A: Take me to your weeder. ","    alien say   garden?   take    weeder. "
"Q: What do you call two fat people having a chat?  A: A heavy discussion. ","    call two fat people   chat?    heavy discussion. "
"Q: Did you hear about the two bed bugs who met in the mattress?  A: They got married in the spring. ","   hear   two bed bugs  met   mattress?    got married   spring. "
"Q: Why do watermelons have fancy weddings?  A: Because they cantaloupe. ","   watermelons  fancy weddings?     cantaloupe. "
"Q: Have you heard the joke about the butter?  A: I better not tell you, it might spread. ","   heard  joke   butter?    better  tell ,  might spread. "
"Q: How do baseball players stay cool?  A: They sit next to their fans. ","   baseball players stay cool?    sit next   fans. "
"Q: Why was the math book sad?  A: Because it had too many problems. ","    math book sad?       many problems. "
"Q: What runs but doesn't get anywhere?  A: A refrigerator. ","  runs   get anywhere?    refrigerator. "
"Q: What is an astronaut's favorite place on a computer?  A: The Space bar! ","    astronaut's favorite place   computer?    space bar! "
"Q: Why was the robot mad?  A: People kept pushing its buttons. ","    robot mad?   people kept pushing  buttons. "
"Q: What exam do young witches have to pass?  A: A spell-ing test! ","  exam  young witches   pass?    spell-ing test! "
"Q: What do you call a sheep with no head and no legs?  A: A cloud! ","    call  sheep   head   legs?    cloud! "
"Q: Why did the boy eat his homework?  A: Because his teacher said it was a piece of cake! ","    boy eat  homework?     teacher said    piece  cake! "
"Q: Why is Basketball such a messy sport?  A: Because you dribble on the floor! ","   basketball   messy sport?     dribble   floor! "
"Q: How do you communicate with a fish?  A: Drop him a line! ","    communicate   fish?   drop   line! "
"Q: What did the digital watch say to his grandfather?  A: Look grandpa no hands! ","    digital watch say   grandfather?   look grandpa  hands! "
"Q: Where do sheep go to get haircuts?  A: To the Baa Baa shop! ","   sheep go  get haircuts?     baa baa shop! "
"Q: What does a shark like to eat with peanut butter?  A: Jellyfish! ","    shark like  eat  peanut butter?   jellyfish! "
"Q: What do cats eat for breakfast?  A: Mice Crispies! ","   cats eat  breakfast?   mice crispies! "
"Q: Why can't a leopard hide?  A: Because he's always spotted! ","    leopard hide?    's always spotted! "
"Q: What do you give a dog with a fever?  A: Mustard, its the best thing for a hot dog! ","    give  dog   fever?   mustard,   best thing   hot dog! "
"Q: What do you get when you cross a cat with a lemon?  A: A sour puss! ","    get   cross  cat   lemon?    sour puss! "
"Q: What kind of flower doesn't sleep at night?  A: The Day-zzz ","  kind  flower  sleep  night?    day-zzz "
"Q: Why do birds fly south for the winter?  A: Its easier than walking! ","   birds fly south   winter?    easier  walking! "
"Q: What kind of key opens a banana?  A: A monkey! ","  kind  key opens  banana?    monkey! "
"Q: Did you hear about the vampire bicycle that went round biting people's arms off?  A: It was a vicious cycle. ","   hear   vampire bicycle  went round biting people's arms ?      vicious cycle. "
"Q: How do you know that carrots are good for your eyesight?  A: Have you ever seen a rabbit wearing glasses? ","    know  carrots  good   eyesight?     ever seen  rabbit wearing glasses? "
"Q: Why does a hummingbird hum?  A: It doesn't know the words! ","    hummingbird hum?     know  words! "
"Q: What did one plate say to the other?  A: Dinners on me ","   one plate say   ?   dinners   "
"Q: Why are some fish at the bottom of the ocean?  A: Because they dropped out of school! ","    fish   bottom   ocean?     dropped   school! "
"Q: What goes up and down but doesn't move?  A: The temperature! ","  goes      move?    temperature! "
"Q: Which weighs more, a ton of feathers or a ton of bricks?  A: Neither, they both weigh a ton! ","  weighs ,  ton  feathers   ton  bricks?   neither,   weigh  ton! "
"Q: Did you hear about the blonde who gave her cat a bath?  A: She still hasn't gotten all the hair off her tongue. ","   hear   blonde  gave  cat  bath?    still  gotten   hair   tongue. "
"Q: What has one horn and gives milk?  A: A milk truck. ","   one horn  gives milk?    milk truck. "
"Q: Where do bulls get their messages?  A: On a bull-etin board. ","   bulls get  messages?     bull-etin board. "
"Q: What do bulls do when they go shopping?  A: They CHARGE! ","   bulls    go shopping?    charge! "
"Q: What do you call a house that likes food?  A: a Condoment! ","    call  house  likes food?    condoment! "
"Q: What runs but can't walk?  A: The faucet! ","  runs   walk?    faucet! "
"Q: What kind of bed does a mermaid sleep in?  A: A water bed! ","  kind  bed   mermaid sleep ?    water bed! "
"Q: What kind of crackers do firemen like in their soup?  A: Firecrackers! ","  kind  crackers  firemen like   soup?   firecrackers! "
"Q: Why did the barber win the race?  A: Because he took a short cut. ","    barber win  race?     took  short cut. "
"Q: Where do boats go when they get sick?  A: The dock ","   boats go   get sick?    dock "
"Q: What do you call leftover aliens?  A: Extra Terrestrials. ","    call leftover aliens?   extra terrestrials. "
"Q: What's taken before you get it?  A: Your picture. "," 's taken   get ?    picture. "
"Q: Whats the difference between roast beef and pea soup?  A: You can roast beef, but you cant pea soup! "," whats  difference  roast beef  pea soup?    can roast beef,   cant pea soup! "
"Q: What concert costs 45 cents?  A: 50 Cent featuring Nickleback. ","  concert costs 45 cents?   50 cent featuring nickleback. "
"Q: Can February March?  A: No. But April May. "," can february march?   .  april may. "
"Did you hear about the injured vegetable?  Some say he got beet. ","  hear   injured vegetable?   say  got beet. "
"Q: Why did the tree go to the dentist?  A: To get a root canal. ","    tree go   dentist?    get  root canal. "
"Q: What is it called when a cat wins a dog show?  A: A CAT-HAS-TROPHY! ","    called   cat wins  dog show?    cat--trophy! "
"Q: Why was the broom late?  A: It over swept! ","    broom late?     swept! "
"Q: Why is a 2016 calendar more popular than a 2015 calendar?  A: It has more dates. ","    2016 calendar  popular   2015 calendar?      dates. "
"Q: What caused the airline to go bankrupt?  A: Runway inflation. ","  caused  airline  go bankrupt?   runway inflation. "
"Q: What do you call a snowman with a six pack?  A: An abdominal snowman. ","    call  snowman   six pack?    abdominal snowman. "
"Q: Did you hear the joke about the germ?  A: Never mind. I don't want to spread it around ","   hear  joke   germ?   never mind.   want  spread  around "
"Q: What do you call a person that chops up cereal?  A: a cereal killer. ","    call  person  chops  cereal?    cereal killer. "
"Q: What do you call a crushed angle?  A: a rectangle ","    call  crushed angle?    rectangle "
"Q: Who do fish always know how much they weigh?  A: Because they have their own scales. ","   fish always know  much  weigh?        scales. "
"Q: Why didn't the 11 year old go to the pirate movie?  A: because it was rated arrrrr ","    11 year old go   pirate movie?      rated arrrrr "
"Q: What did the janitor say when he jumped out of the closet?  A: SUPPLIES! ","    janitor say   jumped    closet?   supplies! "
"Q: What did the tie say to the hat?  A: You go on ahead and I'll hang around! ","    tie say   hat?    go  ahead  'll hang around! "
"Q: Did you hear about the limo driver who went 25 years without a customer?  A: All that time and nothing to chauffeur it. ","   hear   limo driver  went 25 years without  customer?     time  nothing  chauffeur . "
"Q: Why did the scarecrow win the nobel prize?  A: Because he was outstanding in his field. ","    scarecrow win  nobel prize?      outstanding   field. "
"Q: What pet makes the loudest noise?  A: A trum-pet! ","  pet makes  loudest noise?    trum-pet! "
"Q: Did you hear about the kidnapping?  A: He woke up. ","   hear   kidnapping?    woke . "
"Q: What the difference between you and a calendar?  A: a calendar has dates. ","   difference     calendar?    calendar  dates. "
"Q: What do you call a rabbit with fleas?  A: Bugs Bunny! ","    call  rabbit  fleas?   bugs bunny! "
"Q: What word looks the same backwards and upside down?  A: Swims ","  word looks   backwards  upside ?   swims "
"Q: Why did the manager hire the marsupial?  A: Because he was koala-fied. ","    manager hire  marsupial?      koala-fied. "
